id,created_at,updated_at,deleted_at,description,source
1,2022-06-01 18:43:28,2022-06-01 18:43:28,,Procura que tu consumo de sal sea menor a 1 cucharadita (<5 gramos) por día y elige preparaciones ricas en vegetales y fruta,"Guía de Práctica Clinica. Detección Deteccióny Estratificación de factores de riesgo cardiovasc y Estratificación de factores de riesgo cardiovascular.México: Instituto Mexicano del Seguro Social, 2011."
2,2022-06-01 18:43:28,2022-06-01 18:43:28,,"Para disminuir tu consumo de sal, procura usar otras especias para favorecer el sabor de la comida, por ejemplo: pimienta, comino, paprika, hierbas aromáticas.","Guía de Práctica Clinica. Detección Deteccióny Estratificación de factores de riesgo cardiovasc y Estratificación de factores de riesgo cardiovascular.México: Instituto Mexicano del Seguro Social, 2011."
3,2022-06-01 18:43:28,2022-06-01 18:43:28,,Disminuye tu consumo de alimentos procesados o enlatados por su alto contenido de sodio (sal).,"Guía de Práctica Clinica. Detección Deteccióny Estratificación de factores de riesgo cardiovasc y Estratificación de factores de riesgo cardiovascular.México: Instituto Mexicano del Seguro Social, 2011."
4,2022-06-01 18:43:28,2022-06-01 18:43:28,,Recuerda que el efecto nocivo del tabaquismo tiene una relación directa con el número de cigarrillos fumados al día y con la antigüedad del hábito.,"Guía de Práctica Clinica. Detección Deteccióny Estratificación de factores de riesgo cardiovasc y Estratificación de factores de riesgo cardiovascular.México: Instituto Mexicano del Seguro Social, 2011."
5,2022-06-01 18:43:28,2022-06-01 18:43:28,,"Si necesitas ayuda para dejar el hábito de fumar, acude a tu clínica para recibir apoyo de un equipo multidisciplinario.","Guía de Práctica Clinica. Detección Deteccióny Estratificación de factores de riesgo cardiovasc y Estratificación de factores de riesgo cardiovascular.México: Instituto Mexicano del Seguro Social, 2011."
6,2022-06-01 18:43:28,2022-06-01 18:43:28,,El cigarro/tabaco influye en el sistema de coagulación afectando de manera directa el sistema cardiovascular y aumentando el riesgo de enfermedad coronaria.,"Guía de Práctica Clinica. Detección Deteccióny Estratificación de factores de riesgo cardiovasc y Estratificación de factores de riesgo cardiovascular.México: Instituto Mexicano del Seguro Social, 2011."
7,2022-06-01 18:43:28,2022-06-01 18:43:28,,"Haz ejercicio de forma regular, por lo menos 30 minutos al día, al menos 3 días de la semana.",Guía de Práctica Clinica. Detección Deteccióny Estratificación de factores de riesgo cardiovasc y Estratificación de factores de riesgo cardiovascular.México.
8,2022-06-01 18:43:28,2022-06-01 18:43:28,,Una buena forma de iniciar el hábito de ejercitarte es caminando 30 minutos al día a paso medio.,Guía de Práctica Clinica. Detección Deteccióny Estratificación de factores de riesgo cardiovasc y Estratificación de factores de riesgo cardiovascular.México.
9,2022-06-01 18:43:28,2022-06-01 18:43:28,,Bailar es una buena forma de mantener tu cuerpo activo.,Guía de Práctica Clinica. Detección Deteccióny Estratificación de factores de riesgo cardiovasc y Estratificación de factores de riesgo cardiovascular.México.
10,2022-06-01 18:43:28,2022-06-01 18:43:28,,"Si acostumbras tomar bebidas alcoholicas, reduce tu ingesta a un máximo de 1.5 oz en hombres y 1 oz en mujeres por día.","Minzer, Simona, Ricardo Arturo Losno, and Rosa Casas. '"The effect of alcohol on cardiovascular risk factors: is there new Information?.'" Nutrients 12.4 (2020): 912."
11,2022-06-01 18:43:28,2022-06-01 18:43:28,,"Consume una dieta variada con mayor contenido de frutas, cereales, legumbres verduras y pescado.","De Backer, Guy, et al. '"European guidelines on cardiovascular disease prevention in clinical practice; third joint task force of European and other societies on cardiovascular disease prevention in clinical practice (constituted by representatives of eight societies and by invited experts).'" European Journal of Preventive Cardiology 10.4 (2003): S1-S10."
12,2022-06-01 18:43:28,2022-06-01 18:43:28,,"Disminuye tu consumo de grasas saturadas como manteca, mantequilla, margarinas y evita preparaciones como capeados, empanizados, fritos.","De Backer, Guy, et al. '"European guidelines on cardiovascular disease prevention in clinical practice; third joint task force of European and other societies on cardiovascular disease prevention in clinical practice (constituted by representatives of eight societies and by invited experts).'" European Journal of Preventive Cardiology 10.4 (2003): S1-S10."
13,2022-06-01 18:43:28,2022-06-01 18:43:28,,"Recuerda que la Hipertensión Arterial es una enfermedad muchas veces silenciosa y sin síntomas; sin embargo, padecerla aumenta tu riesgo de sufrir enfermedades cerebro vasculares hasta 2-3 veces más.",Blood Pressure. Lowering treatment Trialist colaboración 2000.
14,2022-06-01 18:43:28,2022-06-01 18:43:28,,El riesgo de enfermedad y mortalidad cardiovascular es 2 a 8 veces más en personas diabéticas que en quienes no lo son.,"Kannel, WILLIAM B., and DANIEL L. McGee. '"Diabetes and cardiovascular risk factors: the Framingham study.'" Circulation 59.1 (1979): 8-13."
15,2022-06-01 18:43:28,2022-06-01 18:43:28,,El consumo de grasas poliinsaturadas como el Omega 3 provenientes del pescado resulta benéfico para tu salud cardiovascular.,"Greenland P, Alpert ACCF/AHA Guideline for Assessment of Cardiovascular Risk in Asymptomatic Adults J. Am. Coll. Cardiol. 2010; 56; e50-e103."
16,2022-06-01 18:43:28,2022-06-01 18:43:28,,"Los beneficios de la suspensión del hábito tabáquico son evidentes desde el inicio. Un año después el riesgo excedente de cardiopatía coronaria es de la mitad de la de un fumador activo, entre 5 y 15 años el riesgo de ECV se reduce al de una persona que nunca ha fumado.","Guía de Práctica Clinica. Detección Deteccióny Estratificación de factores de riesgo cardiovasc y Estratificación de factores de riesgo cardiovascular.México: Instituto Mexicano del Seguro Social, 2011."
17,2022-06-01 18:43:28,2022-06-01 18:43:28,,"La pérdida de tan solo 5-10% de tu peso corporal normaliza o mejora notablemente el control de Hipertensión Arterial, Dislipidemias y Diabetes Mellitus.","Greenland P, Alpert ACCF/AHA Guideline for Assessment of Cardiovascular Risk in Asymptomatic Adults J. Am. Coll. Cardiol. 2010; 56; e50-e103."
18,2022-06-01 18:43:28,2022-06-01 18:43:28,,La inactividad física incrementa 1.5 veces tu riesgo de enfermedad cardiaca y evento vascular isquémico.,"Greenland P, Alpert ACCF/AHA Guideline for Assessment of Cardiovascular Risk in Asymptomatic Adults J. Am. Coll. Cardiol. 2010; 56; e50-e103. "
